,matrix,Tcsr,Topt,OptimumFormat,speedup,experiment,matrix_id
589,mycielskian2,1.00834e-07,2.8969e-08,2,3.4807552901377337,cirrus-square_set-serial-1000,20
291,TSOPF_FS_b162_c3,0.000834585,0.000240279,0,3.4733996728802765,cirrus-square_set-openmp-1000,127
1372,mawi_201512020130,0.450343,0.130259,0,3.4572889397277726,xci-square_set-openmp-1000,326
1550,zenios,6.19406e-05,1.79716e-05,5,3.446582385541632,xci-square_set-serial-1000,619
1373,mawi_201512020030,0.241252,0.0701287,0,3.4401322140578676,xci-square_set-openmp-1000,321
37,analytics,0.000792709,0.000230798,0,3.434644147696254,cirrus-square_set-cuda-1000,37
1374,mawi_201512012345,0.0625244,0.0182081,0,3.43387832887561,xci-square_set-openmp-1000,1
1804,case39,0.00136781,0.000399237,0,3.4260602098502893,a64fx-square_set-openmp-1000,76
292,ASIC_100k,0.00041368,0.000121288,0,3.4107248862212254,cirrus-square_set-openmp-1000,24
38,blockqp1,0.000604159,0.000177751,0,3.3989063352667492,cirrus-square_set-cuda-1000,38
1805,TSOPF_FS_b39_c19,0.00254926,0.000750721,0,3.3957488867368832,a64fx-square_set-openmp-1000,60
293,TSOPF_FS_b39_c7,0.000334082,9.87407e-05,0,3.3834275025394795,cirrus-square_set-openmp-1000,105
1806,c-53,0.000806297,0.000238716,0,3.3776412138273093,a64fx-square_set-openmp-1000,264
1807,FullChip,0.0356464,0.0105548,0,3.3772691097889114,a64fx-square_set-openmp-1000,3
1808,TSOPF_FS_b39_c7,0.000979095,0.000290827,0,3.3665890718537135,a64fx-square_set-openmp-1000,105
1809,TSOPF_FS_b39_c30,0.00392936,0.00118648,0,3.311779381026229,a64fx-square_set-openmp-1000,47
39,nlpkkt200,0.0301602,0.00912201,3,3.3063107801898926,cirrus-square_set-cuda-1000,39
1375,indochina-2004,0.157595,0.0476992,0,3.303933818596539,xci-square_set-openmp-1000,124
1810,vsp_model1_crew1_cr42_south31,0.000576222,0.000174683,0,3.298672452385178,a64fx-square_set-openmp-1000,58
1811,email-Enron,0.000555909,0.000168643,0,3.2963656955817915,a64fx-square_set-openmp-1000,279
294,vsp_finan512_scagr7-2c_rlfddd,0.00049508,0.000150286,0,3.2942522922960222,cirrus-square_set-openmp-1000,269
1812,brainpc2,0.000245545,7.4544e-05,0,3.2939606138656368,a64fx-square_set-openmp-1000,54
1813,loc-Gowalla,0.00246654,0.000749087,0,3.292728347975603,a64fx-square_set-openmp-1000,78
295,email-EuAll,0.000276507,8.44566e-05,0,3.2739537229772453,cirrus-square_set-openmp-1000,270
2290,S10PI_n,2.34528e-05,7.18821e-06,0,3.2626759652263915,a64fx-square_set-serial-1000,642
1814,sx-superuser,0.00117799,0.000361176,0,3.261540080182515,a64fx-square_set-openmp-1000,40
1815,vsp_vibrobox_scagr7-2c_rlfddd,0.00112519,0.000345306,0,3.2585301153180084,a64fx-square_set-openmp-1000,272
2291,GlossGT,2.64977e-06,8.1843e-07,0,3.237625697982723,a64fx-square_set-serial-1000,592
3249,rajat24,0.00355889,0.00110262,0,3.2276668299142046,ampere-square_set-cuda-1000,18
812,wiki-talk-temporal,0.00861668,0.00267827,0,3.2172559151989906,archer2-square_set-openmp-1000,7
40,sx-superuser,0.000668751,0.000207947,0,3.215968491971512,cirrus-square_set-cuda-1000,40
1816,flickr,0.0170827,0.00532215,0,3.209736666572719,a64fx-square_set-openmp-1000,73
3813,nlpkkt200,0.0251306,0.00783143,3,3.2089414066141173,instinct-square_set-hip-1000,39
2292,M10PI_n,2.34728e-05,7.33551e-06,0,3.1998865791199247,a64fx-square_set-serial-1000,923
1376,TSOPF_FS_b300_c3,0.0102891,0.00321808,0,3.197279122955303,xci-square_set-openmp-1000,98
41,Stanford_Berkeley,0.0014305,0.000452323,0,3.162563035706784,cirrus-square_set-cuda-1000,41
1817,mawi_201512020130,0.800356,0.253504,0,3.15717306235799,a64fx-square_set-openmp-1000,326
2293,GD95_a,1.35308e-06,4.2887e-07,0,3.1549886912117895,a64fx-square_set-serial-1000,407
3814,Geo_1438,0.00336598,0.00106986,3,3.1461873516160996,instinct-square_set-hip-1000,112
1818,circuit5M,0.0800257,0.0254793,0,3.1408123457080848,a64fx-square_set-openmp-1000,21
42,channel-500x100x100-b050,0.00453315,0.00145007,5,3.126159426786293,cirrus-square_set-cuda-1000,42
3815,rajat13,0.000403511,0.000130103,0,3.101473447960462,instinct-square_set-hip-1000,82
3816,nlpkkt160,0.0121254,0.00391392,3,3.0980193769928865,instinct-square_set-hip-1000,44
3817,rajat22,0.000458965,0.000149188,0,3.076420355524573,instinct-square_set-hip-1000,102
1377,com-Youtube,0.005937,0.00192998,0,3.0761976808049822,xci-square_set-openmp-1000,48
1378,TSOPF_FS_b300_c2,0.00650729,0.0021202,0,3.0691868691632864,xci-square_set-openmp-1000,120
296,atmosmodl,0.00250383,0.000816315,2,3.06723507469543,cirrus-square_set-openmp-1000,81
1819,mawi_201512020030,0.416996,0.136082,0,3.0642994664981407,a64fx-square_set-openmp-1000,321
2294,aug2dc,0.00110329,0.000361311,0,3.0535743445397454,a64fx-square_set-serial-1000,814
2295,aug2d,0.00105917,0.000347098,0,3.051501305106915,a64fx-square_set-serial-1000,813
2296,S80PI_n,0.000142266,4.67976e-05,0,3.0400276937278834,a64fx-square_set-serial-1000,924
3250,trans5,0.0023935,0.000789205,0,3.032798829201538,ampere-square_set-cuda-1000,16
2297,M80PI_n,0.000142296,4.69519e-05,0,3.030676074876629,a64fx-square_set-serial-1000,925
3251,trans4,0.00239248,0.000790385,0,3.026980522150598,ampere-square_set-cuda-1000,12
1379,bundle1,0.000982703,0.000324791,0,3.0256472623933544,xci-square_set-openmp-1000,263
2298,S20PI_n,4.08337e-05,1.34987e-05,0,3.0250098157600362,a64fx-square_set-serial-1000,926
3252,dc2,0.00238938,0.000792339,0,3.015603169855327,ampere-square_set-cuda-1000,17
3253,dc1,0.00238909,0.000792955,0,3.012894804875434,ampere-square_set-cuda-1000,15
2299,M40PI_n,7.52565e-05,2.49895e-05,0,3.011524840432982,a64fx-square_set-serial-1000,927
297,atmosmodm,0.00248469,0.000825628,2,3.0094546212095517,cirrus-square_set-openmp-1000,80
3254,dc3,0.0023937,0.000796198,0,3.006412977676407,ampere-square_set-cuda-1000,14
2300,M20PI_n,4.08475e-05,1.35944e-05,0,3.004729888777732,a64fx-square_set-serial-1000,578
2301,S40PI_n,7.56813e-05,2.52242e-05,0,3.0003449068751435,a64fx-square_set-serial-1000,928
298,TSOPF_FS_b162_c1,0.000284457,9.48316e-05,0,2.999601398689888,cirrus-square_set-openmp-1000,271
299,vsp_vibrobox_scagr7-2c_rlfddd,0.000386053,0.000128924,0,2.994423070956533,cirrus-square_set-openmp-1000,272
1380,c-73,0.00128177,0.000428252,0,2.9930274698074966,xci-square_set-openmp-1000,28
3818,Queen_4147,0.0152104,0.00508263,3,2.9926238974704042,instinct-square_set-hip-1000,109
1381,c-73b,0.00128085,0.000428702,0,2.9877397352939807,xci-square_set-openmp-1000,29
2302,S80PI_n1,0.000136552,4.57239e-05,0,2.986446912883634,a64fx-square_set-serial-1000,929
2303,GD96_d,6.99813e-06,2.3438e-06,0,2.9858051028244734,a64fx-square_set-serial-1000,841
2304,M80PI_n1,0.00013679,4.58314e-05,0,2.984634988239504,a64fx-square_set-serial-1000,930
300,c-45,0.000133428,4.48799e-05,0,2.973001276740813,cirrus-square_set-openmp-1000,273
2305,S40PI_n1,7.01139e-05,2.35997e-05,0,2.9709657326152454,a64fx-square_set-serial-1000,630
301,web-NotreDame,0.000557691,0.000187938,0,2.9674201066309105,cirrus-square_set-openmp-1000,75
2306,minnesota,9.56004e-05,3.22176e-05,0,2.967334624553039,a64fx-square_set-serial-1000,481
813,dc3,0.000494959,0.000166905,0,2.96551331595818,archer2-square_set-openmp-1000,14
3819,Freescale2,0.00383222,0.00129283,0,2.964210298337755,instinct-square_set-hip-1000,95
2307,M40PI_n1,6.99546e-05,2.36601e-05,0,2.9566485348751694,a64fx-square_set-serial-1000,931
1820,TSOPF_FS_b300_c3,0.0163694,0.00554083,0,2.954322727822366,a64fx-square_set-openmp-1000,98
3820,af_shell1,0.00103185,0.000349621,3,2.9513387353734473,instinct-square_set-hip-1000,159
3821,af_shell8,0.00103379,0.000350356,3,2.950684446677094,instinct-square_set-hip-1000,160
3822,af_shell4,0.00103226,0.000349855,3,2.950536650898229,instinct-square_set-hip-1000,161
3823,af_shell5,0.00103213,0.00034982,3,2.9504602366931567,instinct-square_set-hip-1000,163
814,trans4,0.000492697,0.00016702,0,2.9499281523170873,archer2-square_set-openmp-1000,12
3824,af_shell6,0.00103278,0.000350171,3,2.9493590274465906,instinct-square_set-hip-1000,165
